name,provider,released,class,architecture,total_params,active_params,total_params_n,active_params_n,attention,modality,context,max_output,license,license_class,open_weights,openness_tier,intelligence_aa,coding_agent_aa,coding_agent_harness,agentic_aa,layers,hidden,heads,head_dim,experts,ffn,activation,norm,vocab,positional,disclosed_tokens,training_flops,tokens_per_param,kv_bytes_per_token_fp16,disclosure_score,disclosure_total,report_url,huggingface
Sarvam 105B,Sarvam AI,2026/03,Mid,Sparse MoE,105B,10.3B,105000000000,10300000000,MLA (Multi-head Latent Attn),Text,131072,,Apache 2.0,permissive,true,open,12,,,,32,"4,096",64 Q,576,128 routed · 8 active,"16,384 dense · 2,048 per expert",silu,RMSNorm (ε=1e-6),"262,144",RoPE θ=10K + deepseek yarn ×40; MLA head split 64 RoPE / 128 NoPE dims,12000000000000,7.416e+23,114.28571428571429,,11,12,https://www.sarvam.ai/blogs/sarvam-30b-105b,https://huggingface.co/sarvamai/sarvam-105b
Sarvam 30B,Sarvam AI,2026/03,SLM,Sparse MoE,30B,2.4B,30000000000,2400000000,Grouped-query attention,Text,131072,,Apache 2.0,permissive,true,open,6,,,,19,"4,096",64 Q / 4 KV (GQA 16:1),64,128 routed · 6 active,"8,192 dense · 1,024 per expert",silu,RMSNorm (ε=1e-6),"262,144",RoPE θ=8M,16000000000000,2.304e+23,533.3333333333334,19456,11,12,https://www.sarvam.ai/blogs/sarvam-30b-105b,https://huggingface.co/sarvamai/sarvam-30b
Kimi K2.6,Moonshot,2026/04,Frontier,Sparse MoE,1T,32B,1000000000000,32000000000,MLA (Multi-head Latent Attn),Text + image,256000,,Modified MIT,conditional,true,open,45,33,Claude Code,31,61,"7,168",64 Q / 64 KV (MHA),,384 routed · 8 active · 1 shared,"18,432 dense · 2,048 per expert",silu,RMSNorm (ε=1e-5),"163,840",RoPE θ=50K + yarn ×64; MLA head split 64 RoPE / 128 NoPE dims,,,,,9,12,https://www.kimi.com/blog/kimi-k2-6.html,https://huggingface.co/moonshotai/Kimi-K2.6
GLM-5.1,Zhipu,2026/04,Frontier,Sparse MoE,744B,40B,744000000000,40000000000,MLA + DeepSeek Sparse Attn,Text + image,202752,,MIT,permissive,true,open,41,36,Claude Code,31,78,"6,144",64 Q / 64 KV (MHA),64,256 routed · 8 active · 1 shared,"12,288 dense · 2,048 per expert",silu,RMSNorm (ε=1e-5),"154,880",RoPE θ=1M; MLA head split 64 RoPE / 192 NoPE dims,,,,,9,12,https://arxiv.org/pdf/2602.15763,https://huggingface.co/zai-org/GLM-5.1
Laguna XS.2,Poolside,2026/04,SLM,Sparse MoE,33B,3B,33000000000,3000000000,Sliding-window + global,Text,131072,,Apache 2.0,permissive,true,open,,,,,40,"2,048",48 Q / 8 KV (GQA 6:1),128,256 routed · 8 active,"8,192 dense · 512 per expert",,RMSNorm (ε=1e-6),"100,352",full attention: partial RoPE (50% of head dims) θ=500K + yarn ×64 · sliding-window: RoPE θ=10K,30380000000000,5.4684e+23,920.6060606060606,163840,12,12,https://poolside.ai/assets/laguna/laguna-m1-xs2-technical-report.pdf,https://huggingface.co/poolside/Laguna-XS.2
Gemma 4 26B-A4B,Google,2026/04,SLM,Sparse MoE,25.2B,3.8B,25200000000,3800000000,Sliding-window + global,Text + image + video,256000,8192,Apache 2.0,permissive,true,open,26,,,11,30,"2,816",16 Q / 8 KV (GQA 2:1),256,128 routed,"2,112 dense · 704 per expert",gelu_pytorch_tanh,RMSNorm (ε=1e-6),"262,144",full attention: partial RoPE (25% of head dims) θ=1M + proportional · sliding-window: RoPE θ=10K,,,,245760,9,12,https://ai.google.dev/gemma/docs/core/model_card_4,https://huggingface.co/google/gemma-4-26b-a4b
Muse Spark,Meta,2026/04,Frontier,Undisclosed,—,—,,,Undisclosed,Text + image + audio,262144,,Proprietary,proprietary,false,closed,44,,,,,,,,,,,,,,,,,,2,12,https://ai.meta.com/blog/introducing-muse-spark-msl/,
Opus 5,Anthropic,2026/07,Frontier,Undisclosed,—,—,,,Undisclosed,Text + image,1000000,128000,Proprietary,proprietary,false,closed,63,67,Claude Code,59,,,,,,,,,,,,,,,2,12,https://www.anthropic.com/claude,
Sonnet 5,Anthropic,2026/06,Mid,Undisclosed,—,—,,,Undisclosed,Text + image,1000000,64000,Proprietary,proprietary,false,closed,55,,,50,,,,,,,,,,,,,,,2,12,https://www.anthropic.com/claude,
GPT-5.6 Sol,OpenAI,2026/07,Frontier,MoE (reported),—,—,,,Undisclosed,Text + image + audio,1000000,128000,Proprietary,proprietary,false,closed,61,67,Codex,58,,,,,,,,,,,,,,,2,12,https://openai.com/index/gpt-5/,
